model,condition,seed,layer,cosine,locked
SEM_XT,sem,1,13,0.4188058078289032,True
SEM_XT,sem,1,14,0.3880283832550049,True
SEM_XT,sem,1,15,0.3705300092697143,True
SEM_XT,sem,1,16,0.3457356095314026,True
SEM_XT,sem,1,17,0.3358242213726043,True
SEM_XT,sem,1,18,0.3569866716861725,True
SEM_XT,sem,1,19,0.3810965120792389,True
SEM_XT,sem,1,20,0.4673090577125549,True
SEM_XT,sem,1,21,0.4037340581417084,True
SEM_XT,sem,1,22,0.3374662399291992,True
SEM_XT,sem,1,23,0.2973386943340301,True
SEM_XT,sem,1,24,0.293563038110733,True
SEM_XT,sem,1,25,0.2975181043148041,True
SEM_XT,sem,1,26,0.3038953244686126,True
SEM_XT,sem,1,27,0.3143903613090515,True
SEM_XT,sem,1,28,0.1317356079816818,True
