arm,seed,capability,auc,accuracy,n_train,n_test,layer
PW_XT,1,MATH,1.0,1.0,400,200,8
PW_XT,1,MATH,1.0,1.0,400,200,9
PW_XT,1,MATH,1.0,1.0,400,200,10
PW_XT,1,MATH,1.0,1.0,400,200,11
PW_XT,1,MATH,1.0,1.0,400,200,12
PW_XT,1,MATH,1.0,1.0,400,200,13
PW_XT,1,MATH,1.0,1.0,400,200,14
PW_XT,1,MATH,1.0,1.0,400,200,15
PW_XT,1,MATH,1.0,1.0,400,200,16
PW_XT,1,MATH,1.0,1.0,400,200,17
PW_XT,1,MATH,1.0,1.0,400,200,18
PW_XT,1,MATH,1.0,1.0,400,200,19
PW_XT,1,MATH,1.0,1.0,400,200,20
PW_XT,1,MATH,1.0,1.0,400,200,21
PW_XT,1,MATH,1.0,1.0,400,200,22
PW_XT,1,MATH,1.0,1.0,400,200,23
PW_XT,1,MATH,1.0,1.0,400,200,24
PW_XT,1,MATH,1.0,1.0,400,200,25
PW_XT,1,MATH,1.0,1.0,400,200,26
PW_XT,1,MATH,1.0,1.0,400,200,27
PW_XT,1,MATH,1.0,1.0,400,200,28
PW_XT,1,CODE,0.5,0.5,400,180,0
PW_XT,1,CODE,1.0,1.0,400,180,1
PW_XT,1,CODE,1.0,1.0,400,180,2
PW_XT,1,CODE,1.0,1.0,400,180,3
PW_XT,1,CODE,1.0,1.0,400,180,4
PW_XT,1,CODE,1.0,1.0,400,180,5
PW_XT,1,CODE,1.0,1.0,400,180,6
PW_XT,1,CODE,1.0,1.0,400,180,7
PW_XT,1,CODE,1.0,1.0,400,180,8
PW_XT,1,CODE,1.0,1.0,400,180,9
PW_XT,1,CODE,1.0,1.0,400,180,10
PW_XT,1,CODE,1.0,1.0,400,180,11
PW_XT,1,CODE,1.0,1.0,400,180,12
PW_XT,1,CODE,1.0,1.0,400,180,13
PW_XT,1,CODE,1.0,1.0,400,180,14
PW_XT,1,CODE,1.0,1.0,400,180,15
PW_XT,1,CODE,1.0,1.0,400,180,16
PW_XT,1,CODE,1.0,1.0,400,180,17
PW_XT,1,CODE,1.0,1.0,400,180,18
PW_XT,1,CODE,1.0,1.0,400,180,19
PW_XT,1,CODE,1.0,1.0,400,180,20
PW_XT,1,CODE,1.0,1.0,400,180,21
PW_XT,1,CODE,1.0,1.0,400,180,22
PW_XT,1,CODE,1.0,1.0,400,180,23
PW_XT,1,CODE,1.0,1.0,400,180,24
PW_XT,1,CODE,1.0,1.0,400,180,25
PW_XT,1,CODE,1.0,1.0,400,180,26
PW_XT,1,CODE,1.0,1.0,400,180,27
PW_XT,1,CODE,1.0,1.0,400,180,28
SEM_XT,0,MATH,0.5,0.5,400,200,0
SEM_XT,0,MATH,0.9817,0.935,400,200,1
SEM_XT,0,MATH,0.999,0.985,400,200,2
SEM_XT,0,MATH,0.9918,0.94,400,200,3
SEM_XT,0,MATH,1.0,0.95,400,200,4
SEM_XT,0,MATH,1.0,0.965,400,200,5
SEM_XT,0,MATH,0.9991,0.97,400,200,6
SEM_XT,0,MATH,0.9999,0.965,400,200,7
SEM_XT,0,MATH,1.0,0.975,400,200,8
SEM_XT,0,MATH,1.0,0.975,400,200,9
SEM_XT,0,MATH,1.0,0.995,400,200,10
SEM_XT,0,MATH,1.0,0.98,400,200,11
SEM_XT,0,MATH,1.0,1.0,400,200,12
SEM_XT,0,MATH,1.0,1.0,400,200,13
SEM_XT,0,MATH,1.0,1.0,400,200,14
SEM_XT,0,MATH,1.0,0.995,400,200,15
SEM_XT,0,MATH,1.0,0.985,400,200,16
SEM_XT,0,MATH,1.0,1.0,400,200,17
SEM_XT,0,MATH,1.0,1.0,400,200,18
SEM_XT,0,MATH,1.0,0.995,400,200,19
SEM_XT,0,MATH,1.0,1.0,400,200,20
SEM_XT,0,MATH,1.0,0.995,400,200,21
SEM_XT,0,MATH,1.0,0.995,400,200,22
SEM_XT,0,MATH,1.0,0.995,400,200,23
SEM_XT,0,MATH,1.0,0.995,400,200,24
SEM_XT,0,MATH,1.0,0.995,400,200,25
SEM_XT,0,MATH,1.0,0.995,400,200,26
SEM_XT,0,MATH,1.0,0.995,400,200,27
SEM_XT,0,MATH,1.0,1.0,400,200,28
SEM_XT,0,CODE,0.5,0.5,400,180,0
SEM_XT,0,CODE,0.9771604938271605,0.9222222222222223,400,180,1
SEM_XT,0,CODE,0.9949382716049383,0.9777777777777777,400,180,2
SEM_XT,0,CODE,0.9983950617283951,0.9888888888888889,400,180,3
SEM_XT,0,CODE,1.0,0.9722222222222222,400,180,4
SEM_XT,0,CODE,1.0,0.9833333333333333,400,180,5
SEM_XT,0,CODE,1.0,0.9888888888888889,400,180,6
SEM_XT,0,CODE,1.0,0.9888888888888889,400,180,7
SEM_XT,0,CODE,1.0,0.9888888888888889,400,180,8
SEM_XT,0,CODE,1.0,1.0,400,180,9
SEM_XT,0,CODE,1.0,1.0,400,180,10
SEM_XT,0,CODE,1.0,1.0,400,180,11
SEM_XT,0,CODE,1.0,1.0,400,180,12
SEM_XT,0,CODE,1.0,1.0,400,180,13
SEM_XT,0,CODE,1.0,1.0,400,180,14
SEM_XT,0,CODE,1.0,1.0,400,180,15
SEM_XT,0,CODE,1.0,1.0,400,180,16
SEM_XT,0,CODE,1.0,1.0,400,180,17
SEM_XT,0,CODE,1.0,1.0,400,180,18
SEM_XT,0,CODE,1.0,1.0,400,180,19
SEM_XT,0,CODE,1.0,1.0,400,180,20
SEM_XT,0,CODE,1.0,1.0,400,180,21
SEM_XT,0,CODE,1.0,1.0,400,180,22
SEM_XT,0,CODE,1.0,1.0,400,180,23
SEM_XT,0,CODE,1.0,1.0,400,180,24
SEM_XT,0,CODE,1.0,1.0,400,180,25
SEM_XT,0,CODE,1.0,1.0,400,180,26
SEM_XT,0,CODE,1.0,1.0,400,180,27
SEM_XT,0,CODE,1.0,1.0,400,180,28
SEM_XT,1,MATH,0.5,0.5,400,200,0
SEM_XT,1,MATH,0.9784,0.925,400,200,1
SEM_XT,1,MATH,0.9907,0.935,400,200,2
SEM_XT,1,MATH,0.9887,0.945,400,200,3
SEM_XT,1,MATH,1.0,0.95,400,200,4
SEM_XT,1,MATH,1.0,0.945,400,200,5
SEM_XT,1,MATH,0.9995,0.9,400,200,6
SEM_XT,1,MATH,0.9999,0.905,400,200,7
