arm,condition,layer,BASE,STRONG,locked_arm,sft_component,lock_component,total,is_selected_layer
PW_XT,pw,14,0.44975653290748596,0.39789293706417084,0.32154735922813416,-0.051863595843315125,-0.07634557783603668,-0.1282091736793518,False
PW_XT,pw,15,0.40377315878868103,0.3078976646065712,0.21690738201141355,-0.09587549418210983,-0.09099028259515765,-0.18686577677726748,True
PW_XT,pw,16,0.35360537469387054,0.3623645752668381,0.1581505835056305,0.00875920057296753,-0.20421399176120758,-0.19545479118824005,False
PW_XT,pw,17,0.25563962757587433,0.3337814956903457,0.12829831987619394,0.07814186811447138,-0.20548317581415176,-0.12734130769968038,False
PW_XT,pw,18,0.2798749655485153,0.29657840728759766,0.16354393213987345,0.016703441739082336,-0.1330344751477242,-0.11633103340864187,False
PW_XT,pw,19,0.2439187243580818,0.27592398226261133,0.1580349802970886,0.032005257904529544,-0.11788900196552274,-0.0858837440609932,False
PW_XT,pw,20,0.21055833250284195,0.25455600768327713,0.218778558075428,0.04399767518043518,-0.03577744960784912,0.00822022557258606,False
PW_XT,pw,21,0.19639687240123743,0.2338091507554054,0.2632506787776947,0.037412278354167966,0.029441528022289304,0.06685380637645727,False
PW_XT,pw,22,0.19867049902677536,0.2042064145207405,0.20535662025213242,0.005535915493965149,0.0011502057313919067,0.006686121225357056,False
PW_XT,pw,23,0.15976186096668238,0.1846922934055328,0.17591646313667297,0.02493043243885043,-0.008775830268859836,0.016154602169990595,False
PW_XT,pw,24,0.09056960418820376,0.18872162699699396,0.16419902443885798,0.0981520228087902,-0.024522602558135986,0.07362942025065422,False
PW_XT,pw,25,0.0709378384053707,0.1555918306112289,0.18766973167657847,0.08465399220585819,0.03207790106534958,0.11673189327120777,False
PW_XT,pw,26,0.1488876789808273,0.1768010407686233,0.1513209417462349,0.027913361787795993,-0.025480099022388403,0.00243326276540759,False
PW_XT,pw,27,0.16142509877681732,0.20743811130523676,0.17760565131902695,0.04601301252841944,-0.029832459986209814,0.016180552542209625,False
PW_XT,pw,28,0.14346892386674875,0.20838278532028195,0.038483589887619005,0.0649138614535332,-0.16989919543266296,-0.10498533397912975,False
SEM_XT,sem,0,,,,,,,False
SEM_XT,sem,1,0.7437226176261902,0.7413747310638428,0.5001395344734192,-0.002347886562347412,-0.24123519659042358,-0.243583083152771,False
SEM_XT,sem,2,0.7704580724239349,0.7676045894622803,0.4524886012077331,-0.002853482961654663,-0.3151159882545472,-0.31796947121620184,False
SEM_XT,sem,3,0.6381877958774567,0.6704028844833374,0.44380511343479156,0.03221508860588074,-0.22659777104854584,-0.1943826824426651,False
SEM_XT,sem,4,0.6762493252754211,0.6618083119392395,0.7329314053058624,-0.01444101333618164,0.07112309336662292,0.056682080030441284,False
SEM_XT,sem,5,0.6776067614555359,0.6501017510890961,0.6804912090301514,-0.02750501036643982,0.030389457941055298,0.0028844475746154785,False
SEM_XT,sem,6,0.6134847402572632,0.5523001551628113,0.606736034154892,-0.061184585094451904,0.05443587899208069,-0.006748706102371216,False
SEM_XT,sem,7,0.5245489776134491,0.4846068024635315,0.5447292178869247,-0.0399421751499176,0.06012241542339325,0.020180240273475647,False
SEM_XT,sem,8,0.5463177859783173,0.5378140509128571,0.5505939722061157,-0.008503735065460205,0.012779921293258667,0.004276186227798462,False
SEM_XT,sem,9,0.53409343957901,0.5131789296865463,0.5411885976791382,-0.020914509892463684,0.028009667992591858,0.007095158100128174,False
SEM_XT,sem,10,0.5395488739013672,0.5256178826093674,0.5816386640071869,-0.013930991291999817,0.05602078139781952,0.0420897901058197,False
SEM_XT,sem,11,0.565904974937439,0.5216113030910492,0.5767495930194855,-0.04429367184638977,0.05513828992843628,0.010844618082046509,False
SEM_XT,sem,12,0.6585034132003784,0.5591779351234436,0.40479694306850433,-0.09932547807693481,-0.15438099205493927,-0.2537064701318741,False
SEM_XT,sem,13,0.6111235320568085,0.4620009958744049,0.4524514377117157,-0.14912253618240356,-0.009549558162689209,-0.15867209434509277,False
SEM_XT,sem,14,0.5922683775424957,0.4862106293439865,0.4351275861263275,-0.10605774819850922,-0.051083043217659,-0.1571407914161682,False
SEM_XT,sem,15,0.5092170834541321,0.405676856637001,0.4187401235103607,-0.1035402268171311,0.013063266873359736,-0.09047695994377136,False
SEM_XT,sem,16,0.45855575799942017,0.4176741689443588,0.3713708966970444,-0.04088158905506134,-0.04630327224731445,-0.0871848613023758,False
SEM_XT,sem,17,0.27384690940380096,0.2941232770681381,0.366220086812973,0.020276367664337158,0.0720968097448349,0.09237317740917206,True
SEM_XT,sem,18,0.3174551129341125,0.29777988046407694,0.38255907595157623,-0.019675232470035553,0.08477919548749929,0.06510396301746374,False
SEM_XT,sem,19,0.32778802514076233,0.3073088377714157,0.4123782217502594,-0.02047918736934662,0.10506938397884369,0.08459019660949707,False
SEM_XT,sem,20,0.2632959187030792,0.3419155925512314,0.4553844183683395,0.07861967384815216,0.1134688258171081,0.19208849966526026,False
SEM_XT,sem,21,0.25335071980953217,0.3416845500469208,0.4130176603794098,0.08833383023738861,0.07133311033248901,0.15966694056987762,False
SEM_XT,sem,22,0.3459281176328659,0.3481148034334183,0.3335816562175751,0.002186685800552368,-0.0145331472158432,-0.012346461415290833,False
SEM_XT,sem,23,0.34856991469860077,0.3691457062959671,0.2931470423936844,0.020575791597366333,-0.07599866390228271,-0.05542287230491638,False
SEM_XT,sem,24,0.33439332246780396,0.3388203233480453,0.2875610291957855,0.0044270008802413385,-0.05125929415225977,-0.04683229327201843,False
SEM_XT,sem,25,0.3327652513980865,0.36765021085739136,0.29061418771743774,0.034884959459304865,-0.07703602313995361,-0.04215106368064875,False
SEM_XT,sem,26,0.31460584700107574,0.3530179560184479,0.29053606092929835,0.03841210901737213,-0.06248189508914953,-0.0240697860717774,False
SEM_XT,sem,27,0.29795524477958674,0.30270980298519135,0.31145337224006653,0.004754558205604609,0.008743569254875183,0.013498127460479792,False
SEM_XT,sem,28,0.27511137723922724,0.27790606021881104,0.1327077522873878,0.0027946829795837957,-0.14519830793142324,-0.14240362495183945,False
