arm,seed,capability,layer,source,is_primary,participation_ratio_centered,participation_ratio_uncentered,direction_norm,heldout_cohens_d,n_pairs
PW,0,CODE,28,train_templates,False,19.36873624198899,1.7570023944064612,58.3524284362793,14.501201629638672,200
PW,0,CODE,0,heldout_templates,True,,,0.0,,90
PW,0,CODE,1,heldout_templates,True,8.204343463639475,1.255149592370119,1.5250507593154907,13.505786895751953,90
PW,0,CODE,2,heldout_templates,True,7.214183524308637,1.2676626968046323,2.8140220642089844,21.433883666992188,90
PW,0,CODE,3,heldout_templates,True,6.266724680320807,1.23714098231198,5.339666366577148,10.980907440185547,90
PW,0,CODE,4,heldout_templates,True,9.701701872610183,1.420850357333078,6.918605327606201,11.810067176818848,90
PW,0,CODE,5,heldout_templates,True,9.669215839237706,1.443635454422741,6.864066123962402,12.021101951599121,90
PW,0,CODE,6,heldout_templates,True,7.415558149017947,1.6285904054721607,6.748072147369385,13.030298233032227,90
PW,0,CODE,7,heldout_templates,True,8.02875455803519,1.6796212849633008,5.903533935546875,12.196089744567871,90
PW,0,CODE,8,heldout_templates,True,9.752833510361302,1.5956265160691012,6.134150981903076,12.209131240844727,90
PW,0,CODE,9,heldout_templates,True,10.302548111418375,1.4972128402955291,6.840692520141602,17.7158260345459,90
PW,0,CODE,10,heldout_templates,True,8.968231089537982,1.4144724783177205,7.772814750671387,17.308557510375977,90
PW,0,CODE,11,heldout_templates,True,10.530177701665494,1.329876713321856,10.976433753967285,11.847944259643555,90
PW,0,CODE,12,heldout_templates,True,11.103611868263455,1.2218932441953314,15.4967041015625,12.672740936279297,90
PW,0,CODE,13,heldout_templates,True,12.248814071164045,1.265724467398997,13.579068183898926,13.053923606872559,90
PW,0,CODE,14,heldout_templates,True,13.596714521099006,1.2853028380617673,14.113563537597656,15.259678840637207,90
PW,0,CODE,15,heldout_templates,True,15.376997074942853,1.2960702934710426,13.919290542602539,16.35271453857422,90
PW,0,CODE,16,heldout_templates,True,16.551648458751814,1.2678943988897529,13.898483276367188,18.161348342895508,90
PW,0,CODE,17,heldout_templates,True,17.276429229590338,1.2374633892065545,17.27172088623047,19.734121322631836,90
PW,0,CODE,18,heldout_templates,True,18.767784389825916,1.2122364781367012,19.74782371520996,19.18280792236328,90
PW,0,CODE,19,heldout_templates,True,18.718828848193276,1.1968784979464704,23.43136978149414,19.67220115661621,90
PW,0,CODE,20,heldout_templates,True,17.582879522317814,1.1576400934820028,28.488563537597656,17.5941162109375,90
PW,0,CODE,21,heldout_templates,True,17.58769639762865,1.2161417846601799,32.72172927856445,17.963106155395508,90
PW,0,CODE,22,heldout_templates,True,17.270260051013256,1.291034476483786,36.69914627075195,16.542747497558594,90
PW,0,CODE,23,heldout_templates,True,16.51239804765133,1.3392302846794841,41.90106201171875,16.402925491333008,90
PW,0,CODE,24,heldout_templates,True,16.51208809534033,1.3857590215527635,46.79677200317383,16.04341697692871,90
PW,0,CODE,25,heldout_templates,True,17.353028992578704,1.4321536525535297,51.995880126953125,15.917179107666016,90
PW,0,CODE,26,heldout_templates,True,17.444566337945517,1.4388438278644347,58.738162994384766,15.430240631103516,90
PW,0,CODE,27,heldout_templates,True,17.507690229592427,1.4765185620899284,64.39712524414062,15.232179641723633,90
PW,0,CODE,28,heldout_templates,True,14.893438960576745,1.6953186365016235,59.633731842041016,14.470420837402344,90
PW,1,MATH,0,train_templates,False,,,0.0,,200
PW,1,MATH,1,train_templates,False,4.031764820288926,1.7570115435607092,1.8128657341003418,14.895838737487793,200
PW,1,MATH,2,train_templates,False,5.212803315890059,1.4968980252757473,3.2953851222991943,19.085140228271484,200
PW,1,MATH,3,train_templates,False,8.768034790303119,1.3823479426370688,5.926820278167725,14.334179878234863,200
PW,1,MATH,4,train_templates,False,8.677361958606722,1.5385420547148685,7.295889377593994,14.092490196228027,200
PW,1,MATH,5,train_templates,False,10.162930958238395,1.542858921773892,7.844878196716309,12.758399963378906,200
PW,1,MATH,6,train_templates,False,10.035211455461532,1.618250719718464,8.536145210266113,11.07979679107666,200
PW,1,MATH,7,train_templates,False,9.897562936058078,1.6142583213712804,8.974161148071289,11.050339698791504,200
PW,1,MATH,8,train_templates,False,8.933280713016165,1.5625186908938233,9.433422088623047,13.357940673828125,200
PW,1,MATH,9,train_templates,False,8.166826653320816,1.4672416046395296,9.7816162109375,17.043880462646484,200
