arm,seed,layer,cosine,source,is_primary,cap_a,cap_b
PW_XT,0,26,0.17263703048229218,train_templates,False,MATH,CODE
PW_XT,0,27,0.20589081943035126,train_templates,False,MATH,CODE
PW_XT,0,28,0.0783846452832222,train_templates,False,MATH,CODE
PW_XT,0,0,,heldout_templates,True,MATH,CODE
PW_XT,0,1,0.5184033513069153,heldout_templates,True,MATH,CODE
PW_XT,0,2,0.5418822169303894,heldout_templates,True,MATH,CODE
PW_XT,0,3,0.7780854105949402,heldout_templates,True,MATH,CODE
PW_XT,0,4,0.6496264934539795,heldout_templates,True,MATH,CODE
PW_XT,0,5,0.6242546439170837,heldout_templates,True,MATH,CODE
PW_XT,0,6,0.6923038959503174,heldout_templates,True,MATH,CODE
PW_XT,0,7,0.6779471635818481,heldout_templates,True,MATH,CODE
PW_XT,0,8,0.6488707065582275,heldout_templates,True,MATH,CODE
PW_XT,0,9,0.5790393352508545,heldout_templates,True,MATH,CODE
PW_XT,0,10,0.5751697421073914,heldout_templates,True,MATH,CODE
PW_XT,0,11,0.5759391784667969,heldout_templates,True,MATH,CODE
PW_XT,0,12,0.5298709869384766,heldout_templates,True,MATH,CODE
PW_XT,0,13,0.4175872802734375,heldout_templates,True,MATH,CODE
PW_XT,0,14,0.3263493478298187,heldout_templates,True,MATH,CODE
PW_XT,0,15,0.2110452800989151,heldout_templates,True,MATH,CODE
PW_XT,0,16,0.1532750278711319,heldout_templates,True,MATH,CODE
PW_XT,0,17,0.14733432233333588,heldout_templates,True,MATH,CODE
PW_XT,0,18,0.14607854187488556,heldout_templates,True,MATH,CODE
PW_XT,0,19,0.1343454271554947,heldout_templates,True,MATH,CODE
PW_XT,0,20,0.2197394073009491,heldout_templates,True,MATH,CODE
PW_XT,0,21,0.2743510603904724,heldout_templates,True,MATH,CODE
PW_XT,0,22,0.2177409827709198,heldout_templates,True,MATH,CODE
PW_XT,0,23,0.2005472034215927,heldout_templates,True,MATH,CODE
PW_XT,0,24,0.16611523926258087,heldout_templates,True,MATH,CODE
PW_XT,0,25,0.19836337864398956,heldout_templates,True,MATH,CODE
PW_XT,0,26,0.1515944004058838,heldout_templates,True,MATH,CODE
PW_XT,0,27,0.1823275238275528,heldout_templates,True,MATH,CODE
PW_XT,0,28,0.045615699142217636,heldout_templates,True,MATH,CODE
PW_XT,1,0,,train_templates,False,MATH,CODE
PW_XT,1,1,0.5538095235824585,train_templates,False,MATH,CODE
PW_XT,1,2,0.5992394685745239,train_templates,False,MATH,CODE
PW_XT,1,3,0.803090512752533,train_templates,False,MATH,CODE
PW_XT,1,4,0.7141280770301819,train_templates,False,MATH,CODE
PW_XT,1,5,0.7119095325469971,train_templates,False,MATH,CODE
PW_XT,1,6,0.6902073621749878,train_templates,False,MATH,CODE
PW_XT,1,7,0.6800485849380493,train_templates,False,MATH,CODE
PW_XT,1,8,0.6456834673881531,train_templates,False,MATH,CODE
PW_XT,1,9,0.564662516117096,train_templates,False,MATH,CODE
PW_XT,1,10,0.5375681519508362,train_templates,False,MATH,CODE
PW_XT,1,11,0.5552349090576172,train_templates,False,MATH,CODE
PW_XT,1,12,0.4167923629283905,train_templates,False,MATH,CODE
PW_XT,1,13,0.39231956005096436,train_templates,False,MATH,CODE
PW_XT,1,14,0.33062082529067993,train_templates,False,MATH,CODE
PW_XT,1,15,0.2433607280254364,train_templates,False,MATH,CODE
PW_XT,1,16,0.1762218326330185,train_templates,False,MATH,CODE
PW_XT,1,17,0.11807422339916229,train_templates,False,MATH,CODE
PW_XT,1,18,0.19183099269866943,train_templates,False,MATH,CODE
PW_XT,1,19,0.1912117600440979,train_templates,False,MATH,CODE
PW_XT,1,20,0.22016072273254395,train_templates,False,MATH,CODE
PW_XT,1,21,0.2620460093021393,train_templates,False,MATH,CODE
PW_XT,1,22,0.20327025651931763,train_templates,False,MATH,CODE
PW_XT,1,23,0.15896762907505035,train_templates,False,MATH,CODE
PW_XT,1,24,0.17516183853149414,train_templates,False,MATH,CODE
PW_XT,1,25,0.19465044140815735,train_templates,False,MATH,CODE
PW_XT,1,26,0.16816280782222748,train_templates,False,MATH,CODE
PW_XT,1,27,0.18977302312850952,train_templates,False,MATH,CODE
PW_XT,1,28,0.044855356216430664,train_templates,False,MATH,CODE
PW_XT,1,0,,heldout_templates,True,MATH,CODE
PW_XT,1,1,0.5278738737106323,heldout_templates,True,MATH,CODE
PW_XT,1,2,0.5706718564033508,heldout_templates,True,MATH,CODE
PW_XT,1,3,0.7891586422920227,heldout_templates,True,MATH,CODE
PW_XT,1,4,0.6843822002410889,heldout_templates,True,MATH,CODE
PW_XT,1,5,0.6901546716690063,heldout_templates,True,MATH,CODE
PW_XT,1,6,0.6649379730224609,heldout_templates,True,MATH,CODE
PW_XT,1,7,0.6549530625343323,heldout_templates,True,MATH,CODE
PW_XT,1,8,0.6204598546028137,heldout_templates,True,MATH,CODE
PW_XT,1,9,0.5539539456367493,heldout_templates,True,MATH,CODE
PW_XT,1,10,0.5397272706031799,heldout_templates,True,MATH,CODE
PW_XT,1,11,0.5566084384918213,heldout_templates,True,MATH,CODE
PW_XT,1,12,0.4190922677516937,heldout_templates,True,MATH,CODE
PW_XT,1,13,0.3882378041744232,heldout_templates,True,MATH,CODE
PW_XT,1,14,0.3167453706264496,heldout_templates,True,MATH,CODE
PW_XT,1,15,0.22276948392391205,heldout_templates,True,MATH,CODE
PW_XT,1,16,0.1630261391401291,heldout_templates,True,MATH,CODE
PW_XT,1,17,0.10926231741905212,heldout_templates,True,MATH,CODE
PW_XT,1,18,0.18100932240486145,heldout_templates,True,MATH,CODE
PW_XT,1,19,0.18172453343868256,heldout_templates,True,MATH,CODE
PW_XT,1,20,0.21781770884990692,heldout_templates,True,MATH,CODE
PW_XT,1,21,0.252150297164917,heldout_templates,True,MATH,CODE
PW_XT,1,22,0.19297225773334503,heldout_templates,True,MATH,CODE
PW_XT,1,23,0.15128572285175323,heldout_templates,True,MATH,CODE
PW_XT,1,24,0.1622828096151352,heldout_templates,True,MATH,CODE
PW_XT,1,25,0.17697608470916748,heldout_templates,True,MATH,CODE
PW_XT,1,26,0.151047483086586,heldout_templates,True,MATH,CODE
PW_XT,1,27,0.1728837788105011,heldout_templates,True,MATH,CODE
PW_XT,1,28,0.0313514806330204,heldout_templates,True,MATH,CODE
SEM_XT,0,0,,train_templates,False,MATH,CODE
SEM_XT,0,1,0.5929113626480103,train_templates,False,MATH,CODE
SEM_XT,0,2,0.6147230863571167,train_templates,False,MATH,CODE
SEM_XT,0,3,0.49758458137512207,train_templates,False,MATH,CODE
SEM_XT,0,4,0.7205203771591187,train_templates,False,MATH,CODE
SEM_XT,0,5,0.6941126585006714,train_templates,False,MATH,CODE
SEM_XT,0,6,0.6270376443862915,train_templates,False,MATH,CODE
SEM_XT,0,7,0.592668354511261,train_templates,False,MATH,CODE
SEM_XT,0,8,0.6001416444778442,train_templates,False,MATH,CODE
SEM_XT,0,9,0.5705545544624329,train_templates,False,MATH,CODE
SEM_XT,0,10,0.6391717791557312,train_templates,False,MATH,CODE
SEM_XT,0,11,0.6526864767074585,train_templates,False,MATH,CODE
SEM_XT,0,12,0.43067795038223267,train_templates,False,MATH,CODE
SEM_XT,0,13,0.539944589138031,train_templates,False,MATH,CODE
SEM_XT,0,14,0.5303888320922852,train_templates,False,MATH,CODE
SEM_XT,0,15,0.5155989527702332,train_templates,False,MATH,CODE
SEM_XT,0,16,0.43441274762153625,train_templates,False,MATH,CODE
SEM_XT,0,17,0.4092548191547394,train_templates,False,MATH,CODE
SEM_XT,0,18,0.4322276711463928,train_templates,False,MATH,CODE
SEM_XT,0,19,0.4581734240055084,train_templates,False,MATH,CODE
SEM_XT,0,20,0.4613998830318451,train_templates,False,MATH,CODE
SEM_XT,0,21,0.4480975270271301,train_templates,False,MATH,CODE
SEM_XT,0,22,0.36342790722846985,train_templates,False,MATH,CODE
SEM_XT,0,23,0.3189338147640228,train_templates,False,MATH,CODE
SEM_XT,0,24,0.3090210556983948,train_templates,False,MATH,CODE
SEM_XT,0,25,0.31737035512924194,train_templates,False,MATH,CODE
SEM_XT,0,26,0.3009566366672516,train_templates,False,MATH,CODE
SEM_XT,0,27,0.3335959017276764,train_templates,False,MATH,CODE
SEM_XT,0,28,0.22839270532131195,train_templates,False,MATH,CODE
SEM_XT,0,0,,heldout_templates,True,MATH,CODE
